AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADAMS, HENRY WELCH",,Henry Welch Adams,,1898-1973,Auburn,Lee,"Dallas, Dallas; New York City, New York County",,Auburn,"Atlanta, Fulton",":</strong></p>
<p>Literary scholar; professor of English. Born:April 2, 1898, Bonham, Tex. Education:Southern Methodist University, A.B., 1921; Columbia University, A.M., 1929. Taught English at Southern Methodist, 1921-1926; Columbia University, 1927-1928; Auburn University, 1928-1946; Georgia Institute of Technology, 1946 until his retirement. Died October 3, 1973.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1969.</p>
<p>","(s):</strong></p>
<p>Elements of Sentence Structure. New York; Prentice, 1937.</p>
<p>Key to Exercises in Elements of Sentence Structure. New York; Prentice, 1937.</p><p>Organization, Logic and Style. Auburn, Ala.; Privately printed, 1938.</p>
<p>Outlining and Precis. Montgomery, Ala.; Paragon Press, 1941.</p>
<p>The Montgomery Theatre, 1822-1835. University, Ala.; University of Alabama Press, 1955.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Exercises To be Used with Organization, Logic, and Style. Auburn, Ala.; Privately printed, 1938.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADKINS, WALTER ROBERTS, JR",,Walter Roberts Adkins Jr. ,,1921-2011,Montevallo and Tuscaloosa,Shelby and Tuscaloosa,"West Point, Orange; Tuscaloosa, Tuscaloosa",,Tuscaloosa and Montevallo,"Montevallo, Shelby",";</strong></p>
<p>U.S. Army officer.  Born: September 21, 1921, Montevallo.  Parents:Walter R. and Clara E. Adkins.  Married:Jacquelyn Boyette.  Education:U. S. Military Academy, graduated 1945; University of Alabama, M. A., 1956; Ph. D., 1981.  United States Army, 1945-1975; served in World War II, the Korean conflict, and the Vietnam War; retired with the rank of Colonel, 1975.  Member Rotary Club, Cattlemen's Association.  Awarded several military medals, including the Gallantry Cross with Gold Star and the Legion of Merit.  Died December 4, 2011.</p>
<p>","s; </strong></p>
<p>Sammie Cockrell [nephew of Walter R. Roberts]</p>
<p>Obituary, Birmingham News, December 6, 2011.</p>
<p>","s;</strong></p>
<p>Political Development of the Trust Territory of the Pacific Islands.  M. A. Thesis, University of Alabama, 1956.</p>
<p>Organizational Tolerance of Creativity and Innovation; A Comparative Study of Military Organizations.  Ph. D. dissertation, University of Alabama, 1981.</p>

				</div>","<p>Walking Home from Rock Island. AuthorHouse, 2003.</p><p>Struggling into War.  AuthorHouse, 2006.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGEE, RUCKER",,Rucker Agee,,1897-1985,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa,"Tuscaloosa,Tuscaloosa",,Birmingham,Birmingham,":</strong></p>
<p>Investment banker; historian; civic leader. Born:October 22, 1897, Birmingham. Parents:Walter Claybrook and Louise (Rucker) Agee. Married:Margaret Dixon Minge, March 27, 1927. Children:Two. Education:University of Alabama, B.S., 1919. U.S. Army, WWI. A principal in the investment securities firm Sterne, Agee and Leach, Inc. from 1919.  Member and leader of many state and local civic, educational and charitable organizations in Alabama, including the Birmingham Area Chamber of Commerce, the Boy Scouts of America, and Children's Hospital of Alabama. Active in research and preservation of regional and local history and culture. Amassed an outstanding collection of more than 600 maps and atlases, which he donated to the Birmingham Public Library, and a library of Southern History, which he donated to the Hoole Special Collections Library at the University of Alabama. Member Alabama Historical Association; president, 1951-52; and many other local and regional historical groups; a trustee of the Alabama Department of Archives and History.  Honors:elected to Alabama Academy of Honor, 1975; LL.D., University of Alabama, 1981; Special Award from the Alabama Library Association, 1977; Award of Merit, American Association of State and Local History; Distinguished Service Award, Alabama Historical Commission; Silver Beaver Award, Boy Scouts of America. Died November 1, 1985.</p>
<p>","s:</strong></p>
<p>Alabama Academy of Honor website</p>
<p>bhamwiki</p>
<p>Birmingham Historical Society Newsletter, November 2002.</p>
<p>Who's Who in Alabama, Vol. 2.</p>
<p>","(s):</strong></p>
<p>Forrest-Streight Campaign of 1863, Preliminary Report. Milwaukee; s.n., 1958.</p>
<p>Let's Keep the Record Straight; a Vaudeville of Historical Incidents. Birmingham, Ala.; s.n., 1963.</p><p>An Exhibit in Commemoration of the 400th Anniversary of Publication by Abraham Ortelius of Theatrum Orbis Terrarum, the World's First Atlas. Birmingham, Ala.; s.n., 1970.</p><p>Twenty Alabama Books. Miami, Fla.; E. A. Seemann, 1975.</p>

				</div>",,"<p><strong>Compiler:</strong></p>
<p>Early Mapping of Alabama. Montevallo, Ala.; s.n., 1957.</p>
<p>Maps of Alabama; the Evaluation of the State Exhibits in Printed Maps from the Age of Discovery; a Preliminary Catalogue. Birmingham, Ala.; s.n., 1955.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AHERN, EMILY MARTIN",,Emily Martin Ahern,,1944-present,,,,,,,":</strong></p>
<p>Writer; civic leader. Born: August 9, 1914,  Chattanooga. Parents:Benjamin Arthur and Janey Lee (Pickel) Boone. Married:William Craig Aiken, April 16, 1938. Children:Two. Education:McKenzie Business College, Bob Jones College, and Auburn University. Worked for Dixie Foundry Company in Cleveland, Tenn.; Central Alabama Electric Cooperative; correspondent for the Montgomery Advertiser, United Press International, the Prattville Progress, the REA News, and the Birmingham News. Associated with WSFA-TV in Montgomery, 1954-1979. Member of the Prattville Planning Commission; Prattville Service League, Alabama Historical Association, the National Writers Club, National Press Photographers Association, Alabama Women's Press Association, Lee County Historical Society, Daughters of the American Revolution, Autauga County Heritage Association, and Auburn Heritage Association; charter member and chairman of the Prattville Community Girl Scouts committee.  Died December 16, 2001.</p>
<p>",":</strong></p>
<p>The Library of Alabama Lives; Who's Who in the South and Southwest, 1982.</p>
<p>","(s):</strong></p>
<p>Will Howard Smith and McQueen Smith Farms. Prattville, Ala.; s.n., 1971.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AIKEN, ELlZABETH BOONE",,Ellzabeth Boone Aiken,,1914-2001,"Auburn, Montgomery, Prattville, and Birmingham","Lee, Montgomery, Autauga, and Jefferson","Auburn, Lee",,Montgomery and Prattville,"Auburn, Lee",#Null,#Null,#Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AINSWORTH, CHARLES HAROLD",,Charles Harold Ainsworth,,1935-2018,"Tuscaloosa, Montevallo, and Birmingham","Tuscaloosa, Shelby, and Jefferson","Tuscaloosa, Tuscaloosa",,Montevallo and Birmingham,"Taylorville, Salt Lake County",":</strong></p>
<p>Anthropologist; college professor. Born:April 1, 1935, Shreveport, Louisiana. Parents: Ottis W. and Fern Clark Ainsworth. Married:Winnie Tew, January 20, 1964.   Children:Three. Education:Northwestern State University, A.B., 1959, M.A., 1964; University of Alabama, Ed.D., 1975; University of Washington, Ph.D., 1982. Served as Latter Day Saints missionary to Brazil, 1959 to 1962; grade school teacher in New Orleans, 1964; chaplain in the U.S. Army, 1964-1965; instructor at the University of Alabama-Birmingham, 1965-1968;  University of Montevallo, 1968-1978; University of Washington, 1978-1980, and the University of Idaho after 1980. Member of the American Anthropological Society and the Mormon Historical Association.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; International Authors and Writers Who's Who, 8th ed.; files at the library at the University of Montevallo.</p>
<p>","(s):</strong></p>
<p>Barriers and Stimulants to Change Among the Ute Indians.  University of Montevallo, 1974.</p>
<p>Ute Indian Culture; From Tradition to the Reservation.  University of Montevallo, 1974.</p>

				</div>",,"<p><strong>Editor;</strong></p>
<p>Selected Readings for Introductory Anthropology. New York; MSS Information Corp., 1974.</p>
<p>Selected Readings for Marriage and the Family. New York; MSS Information Corp., 1973.</p>
<p>Perspectives for Introductory Sociology. Montevallo, Ala.; Author, 1975.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AKENS, DAVID STRODE",,David Strode Akens,"Stonewall Culpepper, Stonewall Culpepper Lee, S. C. Lee, ",1921-2012,Tuscaloosa ,Tuscaloosa ,"Tuscaloosa, Tuscaloosa",,"Huntsville, Madison","Huntsville, Madison",":</strong></p>
<p>Writer, editor, publisher. Born:April 16, 1921, Lost Creek, Ky. Parents:Claude Neuman and Nellie Geneva (Strode) Akens. Married:Helen Morgan, August 21, 1953. Education:University of Miami, A.B., 1951; University of Alabama, M.A., 1956. Served in the U.S. Army Air Force, 1943-1946. Taught in Lost Creek, Ky., 1947-1949; edited Benham Magazine for International Harvester Company, 1949-1950; worked as freelance author, 1955-1957; Head of the Historical Department of the Marshall Space Flight Center during the 1960's and 70's; and head of Strode Publishers after 1957. Honors:Strode Publishers received 1976 Special Award for outstanding publishing from Alabama Library Association. Member of the American Booksellers Association and Huntsville Chamber of Commerce. Died September 15, 2012.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; Who's Who in America, 1980.</p>
<p>","(s):</strong></p>
<p>Rocket City, U.S.A. Huntsville, Ala.; Strode, 1959.</p><p>Historical Origins of the George C. Marshall Space Flight Center. Huntsville, Ala.; Historical Office, Office of Management Services, George C. Marshall Space Flight Center, U.S. National Aeronautics and Space Administration, 1960.</p><p>A Picture History; Rockets and Rocketry. Huntsville, Ala.; Strode, 1962.</p><p>Rockets and Rocketry; a Picture History. 2d. ed. Huntsville, Ala.; Strode, 1964.</p><p>John Glenn; First American in Orbit. Huntsville, Ala.; Strode, 1965.</p><p>Loss of Hearing and You. Huntsville, Ala.; Strode, 1970.</p><p>Death of a Transplant. Huntsville, Ala.; Strode, 1971.</p>
<p>Full-Time Football. Strode, 1972.</p><p>Saturn Illustrated Chronology. Huntsville, Ala.; Historical Office, George C. Marshall Space Flight Center, 1973.</p><p>Skylab Illustrated Chronology, 1962-73. Huntsville, Ala.; George C. Marshall Space Flight Center, 1973.</p><p>Best Basketball Booster. Huntsville, Ala.; Strode, 1974.</p><p>Historical Chronology of the NASA Marshall Center and MSFC Programs 1960-1973. Washington, D.C.; U.S. National Aeronautics and Space Administration, 1976.</p><p>The Alabama Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p>
<p>Auburn Last Laugh Joke Book. Huntsville, Ala.; Strode, 1979.</p><p>World's Greatest Leaders; the Akens Book of Supernatural Records. Huntsville, Ala.; Strode, 1980.</p><p>University of North Carolina Last Laugh Joke Book. Huntsville, Ala.; Strode, 1981.</p><p>University Jokes Told with Class.  Strode, 1982.</p><p>How to Get a Manuscript Published.  Strode, 1983.</p><p>How to Write Everything Better and Get It Published.  Circle Book Service, 1995.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Hearing Help. Huntsville, Ala.; Strode, 1979.</p>
<p><strong>Written_under_name_of_S.C._(Stonewall Culpepper)_Lee</strong></p>
<p>Full Time Player. Huntsville, Ala; Strode, 1971.</p><p>Death of a Transplant. Huntsville, Ala.; Strode Publications, 1971.</p>
<p>Little League Leader. Huntsville, Ala.; Strode, 1974.</p>
<p>Young Bear; the Legend of Bear Bryant's Boyhood. Huntsville, Ala.; Strode, 1977.</p>
<p>The Untitled Mystery. Tomball, Tex.; Circle Book Service, 1987</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AKENS, HELEN MORGAN",,Helen Morgan Akens,,1918-2012,"Sunny South, Montevallo, and Tuscaloosa","Wilcox, Shelby, and Tuscaloosa","Tuscaloosa, Tuscaloosa; Montevallo, Shelby",,"Montevallo, Shelby","Huntsville, Madison",":</strong></p>
<p>Writer; College instructor. Born:Sunny South, Ala., August 6, 1918.  Parents:James Martin and Katherine Morgan. Married:David Strode Akens, August 21, 1953. Education:University of Montevallo, A.B.; University of Alabama, M.A., 1956; attended American University in Washington, D.C. Taught at Huntingdon College, Athens College and the University of Montevallo; served as Dean of Women at Athens College. With her husband founded Strode Publishers. Wrote a regular column for the Clarke County Democrat and for the Mobile Press Register. One short story appeared in Alabama Prize Stories, 1970. Died June 9, 2012.</p>
<p>",":</strong></p>
<p>Who's Who in Alabama, Vol. 3; Obituary, Huntsville Times, June 11, 2012.</p>
<p>","(s):</strong></p>
<p>Alabama, Mounds to Missiles. Huntsville, Ala.; Strode, 1962.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Alabama Heritage. Huntsville, Ala.; Strode, 1962.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AKIN, EUGENIA THOMPSON",,Eugenia Thompson Akin,,1903-1996,Birmingham,Jefferson,,,Birmingham,"Birmingham, Jefferson",":</strong></p>
<p>Civic leader; volunteer. Born:October 7, 1903. Parents:R. DuPont and Maude (Massey) Thompson. Education:Agnes Scott College. Married:John M. Akin, Sr. Children:Three. Worked as Parent Education Chairman of the Birmingham PTA Council; taught English to internationals at Southside Baptist Church in Birmingham. Member of the Alabama Writers Conclave and of the Methodist Church. Died February 15, 1996.</p>
<p>",":</strong></p>
<p>Bull Frog Bend.</p>
<p>","(s):</strong></p>
<p>Bull Frog Bend; Echoes from Turkey Creek in Jefferson County, Alabama. Birmingham, Ala.; Jefferson County Historical Society, 1978.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALARCON, DANIEL",,Daniel Alarcon,,1977-present,Birmingham and Fairfield,Jefferson,"New York, New York County; Iowa City, Johnson; Berkeley, Alameda",,Fairfield,,";</strong></p>
<p>Writer; teacher of writing.  Born: Lima, Peru, 1977.  Moved to Birmingham at the age of three.  Married:Carolina Guerreo. Children:two.  Education:Indian Springs School; Columbia University, B.A. in anthropology, 1999; Iowa Writers' Workshop, M. F. A., 2003.  Author of short stories published in <em>The New Yorker </em>and other periodicals; visiting scholar/writer at several institutions including Mills College, UCBerkeley, California College of the Arts and the Headlands Center for the Arts. Fellow of the UCBerkeley School of Journalism.  PEN/Hemingway Foundation Award, 2006; Guggenheim Fellowship, 2008; Alabama Library Association Award for Fiction, 2008.  Co-founded the podcast <em>Radio Ambulante</em>, broadcast in several countries.</p>
<p>","s;</strong></p>
<p>""Daniel Alarcon:  Writing North, Pointing South,"" <em>Washington Post, </em>July 23, 2006.</p>
<p>",#Null,"s:</strong></p>
<p>At Night We Walk in Circles.  Riverhead Books, 2013.</p>
<p>Ciudad de Paxasous.  Lima, Peru:  Alfaguara, 2010.</p>
<p>Lost City Radio.  Harper, 2007.</p>
<p>The Secret Miracle:  The Novelist's Handbook.  Henry Holt, 2010.</p>
<p>War by Candlelight:  Stories.  Harper, 2006.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBA, NANIA CHAMPNEY",,Nania Champney Alba,,1917-1968,Montgomery and Tuskegee,Montgomery and Macon,"Augusta, Richmond; Knoxville, Knox; Bloomington, Monroe",,Tuskegee and Montgomery,,":</strong></p>
<p>Poet; College instructor. Born:November 21, 1917, Montgomery, Ala. Parents:I. C. H. and Louise Taylor Champney.  Married:Reuben A. Alba, November 1937.  Children: two.  Education:Haines Institute in Augusta, Ga.; Knoxville College, B.A., 1935; attended Indiana University.  Taught at Tuskegee Institute and at Alabama State University. Died June 24, 1968.</p>
<p>",":</strong></p>
<p>Selected Black American Authors and files at Alabama Public Library Service.</p>
<p>","(s):</strong></p>
<p>The Parchments, Poetry. S.l.; s.n., 1963.</p>
<p>The Parchments II. S.l.; s.n., s.d.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBAUGH, JUNE MIDDLETON",,June Middleton Albaugh,,1924-2019,"Andalusia, Montevallo, and Sylacauga","Covington, Shelby, and Talladega","Montevallo, Shelby",,Sylacauga,,":</strong></p>
<p>Teacher, genealogist. Born:December 30, 1924, Andalusia. Parents:William R. and Mary Clyde (Pelham) Middleton. Married:Hamilton Albaugh, Jr., October 9, 1949. Children:Three. Education:University of Montevallo, B.M., 1947; attended Julliard School and Columbia University. Taught at Comer High School in Sylacauga, 1947-1949.  Researched and wrote articles on historical and genealogical subjects.  Regent of her DAR chapter; Member of the boards of various historical societies; and lineage societies.</p>
<p>",":</strong></p>
<p>June Middleton Albaugh, Short Hills, N.J.</p>
<p>","(s):</strong></p>
<p>Do the Best You Can</p>
<p>Don't Let Go of the Rope.</p>
<p>An Exciting Saturday Night Ride in an Ambulance</p>
<p>If You Want to Walk on Water, You've Got to Get Out of Your Boat. Waco, Tex.; Word Books, 1978.</p>
<p>Just Get over it and Move On</p>
<p>Koinonia Ministries Guidebook. Nashville; Tidings, 1969.</p>
<p>Life Is Short</p>
<p>Lord, Please Deliver Me, I beg you, from Another Live Manger Scene</p>
<p>Second Steps for a New Man; Letters to a Growing Christian. Nashville; Tidings, 1969?</p>
<p>You Simply Can't Trust a Talking Bird.  Lima, Ohio:  Fairway Press, 1992.</p>
<p><strong>Co-Publication(s):</strong></p>
<p>A Prisoner's Message of Freedom and Joy; a Study-Commentary on Philippians. Atlanta; Lay Renewal Pub., 1967.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALBRITTON, WALTER MATTHEW, JR.",,Walter Matthew Albritton Jr.,,1932-present,"Wetumpka, Auburn, Mobile, Demopolis, Andalusia, Opelika, and Montgomery","Lee, Montgomery, Mobile, Marengo, Covington, and Elmore","Auburn, Lee",," Mobile, Andalusia, Demopolis, Opelika, and Montgomery",,":</strong></p>
<p>Methodist clergyman. Born:March 24, 1932, Wetumpka. Parents:Walter Matthew and Caroline (Johnson) Albritton. Married:Louise Eudene Brown, June 1, 1952. Children:Five. Education:Auburn University, B.S., 1954; Emory University, B.D., 1953. Ordained a deacon in the United Methodist Church, 1956 and an elder, 1958. Pastored churches in Alabama and Florida, 1953-1954; 1958-1963. Edited Pastor Magazine, 1955-1956; directed the Evangelism Program Council in Andalusia, 1963-1969; 1968-72, served on the staff of the General Board of Evangelism of the United Methodist Church, Nashville; member of the staff of the United Methodist Church in Mobile, 1972-1975; First United Methodist Church in Demopolis, 1975-89; Trinity United Methodist Church, Opelika, 1989-2002; Associate Pastor for Traditional Worship at Saint James United Methodist, Montgomery, after 2004.  Writes a weekly column ""Alter Call"" for the Opelika-Auburn News and a continuing commentary on the International Bible Lessons.</p>
<p>",":</strong></p>
<p>Who's Who in Religion, 1975; Walter and Dean Albritton website</p>
<p>","(s):</strong></p> <p>Koinonia Ministries Guidebook. Nashville; Tidings, 1969.</p><p>If You Want to Walk on Water, You've Got to Get Out of Your Boat. Waco, Tex.; Word Books, 1978.</p><p>You Simply Can't Trust a Talking Bird.  Lima, Ohio:  Fairway Press, 1992.</p>
<p>Do the Best You Can</p>
<p>Don't Let Go of the Rope.</p>
<p>An Exciting Saturday Night Ride in an Ambulance</p>
<p>Just Get over it and Move On</p>
<p>Life Is Short</p>
<p>Lord, Please Deliver Me, I beg you, from Another Live Manger Scene</p>
<p>Second Steps for a New Man; Letters to a Growing Christian. Nashville; Tidings, 1969?</p>
<p><strong>Co-Publication(s):</strong></p>
<p>A Prisoner's Message of Freedom and Joy; a Study-Commentary on Philippians. Atlanta; Lay Renewal Pub., 1967.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALDRICH, TRUMAN HEMINWAY",,Truman Heminway Aldrich,,1848-1932,Selma and Birmingham,Dallas and Jefferson,"Troy, Rennelaer",,Selma and Birmingham,"Birmingham, Jefferson",":</strong></p>
<p>Engineer, businessman; U.S. Congressman. Born:October 17, 1848, Palmyra, N.Y. Parents:William Farrington and Louisa Maria (Klapp) Aldrich. Married:Anna Morrison of Newark, N.J. Children:five. Education:Attended military academy in West Chester, Pa.; M.A. in engineering, Rensselaer Polytechnic Institute, 1869. Practiced engineering in New York for two years then moved to Selma, Alabama. Executive of Tennessee Coal, Iron, and Railroad Company; founded the Cahaba Coal Mining Company.  Republican candidate for the U.S. Congress in 1894; seated near the end of the first session of the 54th Congress; postmaster of Birmingham, 1911-1915. Died April 28, 1932.</p>
<p>",":</strong></p>
<p>Biographical Directory of the American Congress, 1774-1971.</p>
<p>","(s):</strong></p>
<p>Historical Account of Coal Mining Operations in Alabama Since 1853. University, Ala.; Geological Survey of Alabama, 1875.</p><p>Preliminary Report on the Tertiary Fossils of Alabama and Mississippi. Montgomery, Ala.; Geological Survey of Alabama, 1886.</p><p>Contested Election Case of T. H. Aldrich v. Oscar W. Underwood, from the Ninth Congressional District of the State of Alabama. University, Ala.; Geological Survey of Alabama, 1895.</p><p>New or Little Known Tertiary Mollusca from Alabama and Texas. Ithaca, N.Y.; Cornell University, Harris and Stoneman, 1895.</p>
<p>Notes on Eocene Mollusca, With Descriptions of Some New Species. Ithaca, N.Y.; Cornell University, Harris Co., 1897.</p><p>New Eocene Fossils from the Southern Gulf States. Ithaca, N.Y.; Cornell University, Harris Co., 1911.</p><p>New Eocene Species from Alabama. Ithaca, N.Y.; Cornell University, Harris Co., 1921.</p><p>Alabama Museum of Natural History. University, Ala.; Geological Survey of Alabama, 1931.</p>
<p>Description of a Few Alabama Eocene Species and Remarks on Varieties, with Plates. University, Ala.; Geological Survey of Alabama, 1931.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Report of the Geology of the Costal Plains of Alabama. Montgomery, Ala.; Brown Printing Co., 1894.</p><p>Footprints from the Coal Measures of Alabama. University, Ala.; Geological Survey of Alabama, 1930.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALDRIDGE, GARET VAN ANTWERP",,Garet Van Antwerp Aldridge,,1913-2000,Mobile and Tuscaloosa,Mobile and Tuscaloosa,"Tuscaloosa, Tuscaloosa",,Mobile,"Mobile, Mobile",":</strong></p>
<p>Banker. Born:September 21, 1913, Mobile. Parents:John Forniss and Sarah Catherine (Van Antwerp) Aldridge. Married:Sarah Redfield Plumb, July 13, 1944. Children:Two. Education:University of Alabama, 1935; degree from the School of Banking at Rutgers University, 1955. Began work at the Merchants National Bank in Mobile in 1935. Belonged to the Alabama Bar Association, Alabama Bankers Association, Mobile Chamber of Commerce, Newcomen Society of North America, and other organizations.  Died September 25, 2000.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1976.</p>
<p>","(s):</strong></p>
<p>A History of Trust Business in Alabama. S.l.; s.n., 1949.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALEXANDER, MARGARET ABIGAIL WALKER",,Margaret Abigail Walker Alexander,Margaret Walker,1915-1998,Birmingham,Jefferson,"Evanston, Cook; Iowa City, Johnson",,Chicago,"Chicago, Cook",":</strong></p>
<p>Poet, novelist, University professor. Born:July 7, 1915, Birmingham. Married:Firnist James Alexander, June 13, 1943.  Children:Four. Education:Northwestern University, B.A., 1915; University of Iowa, M.A., 1940, Ph.D., 1965. Worked for the Federal Writers Project, 1936-39.  Taught at Livingstone College (North Carolina), 1941-1942, 1945, West Virginia State College, 1942-1943, and Jackson State College 1949-79. Founder and director of the Institute for the Study of History, Life and Culture of Black Peoples at Jackson State College, 1968-79. Contributed broadsides, articles and papers to periodicals. Member of the Modern Language Association, National Education Association, National Council of Teachers of English, and American Association of University Professors.  Winner of the Yale Series of Younger Poets Award, 1942. Received honorary doctorates from Northwestern (1974), Rust College (1974), Dennison University (1974) and Morgan State University (1974).  Named professor emerita at Jackson State on her retirement.  Died November 30, 1998.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 1974; Who's Who Among Black Americans, 1980. Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>For My People (verse). New Haven; Yale University Press, 1942.</p><p>Jubilee, a Civil War Novel. Iowa City; University of Iowa Press, 1955.</p>
<p>Prophets For a New Day (poems). Detroit; Broadside Press, 1970.</p>
<p>October Journey (poems). Detroit; Broadside Press, 1970.</p><p>How I Wrote Jubilee. Chicago; Third World Press, 1972.</p><p>A Brief Introduction to Southern Literature. Jackson, Miss.; Literary Seminar, Mississippi Arts Festival, 1977.</p>
<p>How I wrote Jubilee and Other Essays on Life and Literature. New York; Feminist Press at the City University of New York, 1989.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>A Poetic Equation; Converstaions Between Nikki Giovanni and Margaret Walker. Washington; Howard University Press, 1974.</p>
<p>Richard Wright, Daemonic Genius; a Portrait of the Man, A Critical Look at his Work. New York; Warner, 1988.</p>
<p>This is My Century; New and Collected Poems. Athens, Ga.; University of Georgia Press, 1989.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALEXANDER, MARY JO",,Mary Jo Alexander,,1924-2019,Fort Payne and Boaz,Dekalb and Etowah,"Boaz, Marshall",,Boaz,,":</strong></p>
<p>Chamber of Commerce employee, accountant. Born:October 31, 1924, Fort Payne. Parents:James Lester and Janie (Ashley) Tumlin. Married:John Alexander, March 2, 1941. Children:Four. Education:Fyffe High School, 1941; Snead State Junior College, 1966. Worked for the Chamber of Commerce in Boaz, Ala., as secretary, 1965-1967, and director, 1967-1971; in 1971 she was self-employed as an accountant. Honors:Honored for distinguished service by the Salvation Army.</p>
<p>",":</strong></p>
<p>Mrs. John Alexander, Boaz, Ala.</p>
<p>","(s):</strong></p>
<p>History of Boaz, Alabama. Boaz, Ala.; Boaz Chamber of Commerce, 1969.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALEXANDER, PAUL",,Paul Alexander,,1955-present,Birmingham and Tuscaloosa,Jefferson and Tuscaloosa,"Tuscaloosa,Tuscaloosa",,,,":</strong></p>
<p>Writer, playwright, stage director. Born:1955, Birmingham. Education:University of Alabama, B.A., 1977; University of Iowa, Writer's Workshop, M.F.A., 1979. Reporter for <em>Time </em>Houston Bureau, 1979-81. Published articles in many journals; closely associated with <em>George </em>and frequently published in <em>Rolling Stone. </em>Fellow of the Hoover Institute at Stanford, 2002.  Co-host of ""Batchelder and Alexander"" radio show, 2001-2003. Honors:Recipient Academy of American Poets award.</p>
<p>",":</strong></p>
<p>Contemporary Literature in Birmingham; Wikipedia.</p>
<p>","(s):</strong></p>
<p>Blue Rooms. Tuscaloosa, Ala.; Elm Street Press, 1979.</p><p>Strangers. Birmingham, Ala.; Thunder City Press, 1983.</p><p>Rough Magic; A Biography of Sylvia Plath. New York; Viking, 1991.</p>
<p>Boulevard of Broken Dreams; The Life, Times, and Legend of James Dean.  New York; Viking Press, 1994.</p>
<p>The Candidate; Behind John Kerry's Remarkable Run for the White House.  New York:  Riverhead Books, 1994.</p>
<p>Death and Disaster; The Rise of the Warhol Empire and the Race for Andy's Millions.New York; Villard Books, 1994.</p>
<p>Salinger; A Biography.  Los Angeles; Renaissance Books, 1999.</p>

				</div>","<p>Machiavelli's Shadow; The Rise and Fall of Karl Rove.  New York; Modern Times, 2008.</p>
<p>Man of the People;  The Life of John McCain.  Hoboken, NJ; John Wiley and Sons, 2003.</p>","<p><strong>Editor:</strong></p>
<p>Ariel Ascending; Writings about Sylvia Plath. New York; Harper & Row, 1984.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,
